target_id	source_id	label
10101	30301	1
10101	14216	0
10109	4415	1
10109	5958	0
10112	30308	1
10112	22722	0
10113	30244	1
10113	40624	0
10119	44635	1
10119	42405	0
10120	4306	1
10120	40005	0
10121	30625	1
10121	31934	0
10122	4576	1
10122	14285	0
10128	14052	1
10128	27306	0
10129	30624	1
10129	23606	0
10130	30256	1
10130	38079	0
10131	30257	1
10131	6212	0
10132	30318	1
10132	28288	0
10133	4445	1
10133	27714	0
10136	27563	1
10136	7046	0
10140	30705	1
10140	30186	0
10141	7009	1
10141	32967	0
10142	30720	1
10142	33653	0
10143	30728	1
10143	27191	0
10147	30757	1
10147	45676	0
10148	30748	1
10148	14532	0
10153	30790	1
10153	27214	0
10155	14093	1
10155	39703	0
10157	30801	1
10157	4374	0
10158	30894	1
10158	40667	0
10160	30828	1
10160	6666	0
10162	30829	1
10162	37777	0
10163	38199	1
10163	39119	0
10165	30892	1
10165	6566	0
10168	30931	1
10168	28184	0
10169	32324	1
10169	33207	0
10176	27106	1
10176	38133	0
10177	26408	1
10177	28044	0
10178	26410	1
10178	45764	0
10179	26406	1
10179	28087	0
10180	27012	1
10180	32111	0
10185	25727	1
10185	14256	0
10186	27017	1
10186	31419	0
10190	31111	1
10190	7051	0
10192	27020	1
10192	14850	0
10202	30304	1
10202	28658	0
10204	25836	1
10204	38027	0
10206	25528	1
10206	13941	0
10207	25731	1
10207	3907	0
10212	30309	1
10212	34194	0
10213	30315	1
10213	30282	0
10217	30700	1
10217	32969	0
10222	30613	1
10222	33803	0
10224	6723	1
10224	11882	0
10229	30636	1
10229	14729	0
10231	37976	1
10231	27218	0
10235	33316	1
10235	40614	0
10236	30584	1
10236	38758	0
10237	30731	1
10237	28869	0
10238	38073	1
10238	3264	0
10241	30729	1
10241	26514	0
10242	37811	1
10242	30536	0
10246	30862	1
10246	7108	0
10247	30894	1
10247	28134	0
10248	30761	1
10248	39829	0
10251	31990	1
10251	25849	0
10255	4599	1
10255	6791	0
10256	30819	1
10256	12031	0
10257	30824	1
10257	38925	0
10258	4701	1
10258	14969	0
10261	30834	1
10261	31323	0
10266	30904	1
10266	40716	0
10267	30919	1
10267	11939	0
10268	4427	1
10268	37974	0
10270	36660	1
10270	30512	0
10274	27011	1
10274	38252	0
10276	27010	1
10276	34296	0
10277	27012	1
10277	11886	0
10278	30957	1
10278	37504	0
10280	25728	1
10280	7211	0
10284	27018	1
10284	36234	0
10286	31111	1
10286	33914	0
10287	37501	1
10287	5091	0
10303	31236	1
10303	14292	0
10304	31236	1
10304	22722	0
10305	31634	1
10305	33232	0
10306	29134	1
10306	27139	0
10401	31221	1
10401	40107	0
10403	31228	1
10403	37788	0
10405	4242	1
10405	33251	0
10406	36772	1
10406	32767	0
10408	31801	1
10408	6877	0
10409	29162	1
10409	28037	0
10410	25528	1
10410	5168	0
10413	31246	1
10413	40156	0
10501	31137	1
10501	31812	0
10502	31166	1
10502	4311	0
10504	26417	1
10504	25618	0
10506	7021	1
10506	14431	0
10515	9178	1
10515	5912	0
10516	6031	1
10516	33756	0
10518	8364	1
10518	37827	0
10520	6119	1
10520	7135	0
10523	6089	1
10523	29064	0
10524	7147	1
10524	31405	0
10526	6532	1
10526	14732	0
10527	25310	1
10527	4505	0
10530	6437	1
10530	4876	0
10531	7312	1
10531	30513	0
10533	5925	1
10533	33357	0
10534	25616	1
10534	31967	0
10543	25501	1
10543	31159	0
10544	14050	1
10544	29341	0
10546	25408	1
10546	45642	0
10549	4313	1
10549	14306	0
10552	5831	1
10552	15027	0
10554	31164	1
10554	30626	0
10558	27019	1
10558	26702	0
10559	31805	1
10559	22722	0
10562	31917	1
10562	26601	0
10564	31811	1
10564	36763	0
10566	26149	1
10566	7042	0
10568	27031	1
10568	37709	0
10569	26244	1
10569	14144	0
10574	27137	1
10574	27070	0
10578	26129	1
10578	40003	0
10579	27162	1
10579	6792	0
10580	27087	1
10580	26704	0
10581	27088	1
10581	4441	0
10584	27185	1
10584	4008	0
10585	27094	1
10585	28722	0
10586	27266	1
10586	37896	0
10588	26224	1
10588	40642	0
10589	26225	1
10589	27936	0
10590	27192	1
10590	28224	0
10593	26125	1
10593	30038	0
10595	27214	1
10595	33219	0
10597	25734	1
10597	3264	0
10598	26155	1
10598	4845	0
10600	26158	1
10600	14190	0
10602	31247	1
10602	31837	0
10609	37755	1
10609	27590	0
10610	6221	1
10610	14804	0
10612	6026	1
10612	4239	0
10613	25721	1
10613	14510	0
10614	25710	1
10614	37959	0
10618	27589	1
10618	3159	0
10619	5821	1
10619	14218	0
10620	6528	1
10620	6700	0
10621	7016	1
10621	7319	0
10623	25746	1
10623	30282	0
10626	28409	1
10626	28062	0
10627	25746	1
10627	36649	0
10629	25524	1
10629	36236	0
10633	6214	1
10633	27573	0
10636	5852	1
10636	6795	0
10637	25410	1
10637	32017	0
10638	4672	1
10638	14293	0
10641	27111	1
10641	4570	0
10646	6421	1
10646	32838	0
10649	1111	1
10649	20956	0
10650	26243	1
10650	29985	0
10651	26246	1
10651	14856	0
10654	27140	1
10654	6656	0
10656	25415	1
10656	22401	0
10657	25822	1
10657	44635	0
10659	26223	1
10659	31298	0
10660	27180	1
10660	28046	0
10661	27181	1
10661	33986	0
10663	33229	1
10663	3555	0
10664	27191	1
10664	38331	0
10666	26132	1
10666	32892	0
10673	26153	1
10673	38182	0
10678	26248	1
10678	31985	0
10680	14172	1
10680	14843	0
10681	27238	1
10681	31983	0
10682	30267	1
10682	3923	0
10683	26420	1
10683	14361	0
10684	1721	1
10684	32841	0
10687	27321	1
10687	14335	0
10688	25621	1
10688	14903	0
10689	7308	1
10689	31610	0
10693	26145	1
10693	6030	0
10695	26146	1
10695	4854	0
10697	26148	1
10697	38714	0
10700	31920	1
10700	26515	0
10702	27319	1
10702	38376	0
10703	4009	1
10703	45728	0
10704	26514	1
10704	11855	0
10707	27240	1
10707	14211	0
10708	26513	1
10708	4248	0
10709	26516	1
10709	25517	0
10712	26422	1
10712	3143	0
10715	26518	1
10715	29125	0
10717	27581	1
10717	3405	0
10719	26147	1
10719	5839	0
10720	26117	1
10720	28240	0
10722	27339	1
10722	14409	0
10724	27242	1
10724	31805	0
10725	27254	1
10725	31948	0
10726	27268	1
10726	6310	0
10727	27215	1
10727	4826	0
10728	27216	1
10728	14975	0
10729	3754	1
10729	26114	0
10730	27306	1
10730	30118	0
10731	27220	1
10731	25727	0
10734	31925	1
10734	28779	0
10738	31813	1
10738	34234	0
10741	33333	1
10741	32161	0
10742	4744	1
10742	28859	0
10743	31709	1
10743	15004	0
10749	31625	1
10749	29430	0
10750	23606	1
10750	33979	0
10751	31627	1
10751	30067	0
10753	25751	1
10753	30618	0
10754	26416	1
10754	36810	0
10757	25753	1
10757	4218	0
10759	26116	1
10759	30517	0
10760	26213	1
10760	33935	0
10761	33848	1
10761	31348	0
10762	33979	1
10762	12031	0
10763	33973	1
10763	40504	0
10764	33848	1
10764	6591	0
10771	32207	1
10771	27101	0
10773	32604	1
10773	31944	0
10777	14822	1
10777	20651	0
10779	32967	1
10779	14338	0
10780	32878	1
10780	38307	0
10782	32878	1
10782	40526	0
10783	32754	1
10783	30615	0
10785	33275	1
10785	27070	0
10788	33939	1
10788	30184	0
10802	31200	1
10802	38067	0
10803	27340	1
10803	4432	0
10804	27253	1
10804	31916	0
10805	4633	1
10805	30674	0
10813	27218	1
10813	33939	0
10814	4123	1
10814	28205	0
10815	31916	1
10815	4996	0
10816	10508	1
10816	40634	0
10817	33044	1
10817	38067	0
10820	31918	1
10820	31627	0
10822	31601	1
10822	11799	0
10824	28298	1
10824	27020	0
10825	26212	1
10825	30832	0
10832	31624	1
10832	14813	0
10834	25752	1
10834	28977	0
10835	25849	1
10835	6876	0
10837	26509	1
10837	20879	0
10839	32610	1
10839	6625	0
10840	33246	1
10840	45619	0
10844	36903	1
10844	14051	0
10847	28394	1
10847	37112	0
10850	32967	1
10850	37814	0
10851	32970	1
10851	32888	0
10852	32969	1
10852	40032	0
10853	14822	1
10853	38115	0
10854	28246	1
