TARGET_CURRICULUM	TARGET	TARGET_ID	TARGET_PATH	TARGET_GRADEID	SOURCE	SOURCE_ID	SOURCE_PATH	SOURCE_GRADEID	SOURCE_CURRICULUM
CBSE	Exchange Of Gasses	10002	CBSE>Class 11>Biology>17 Breathing And Exchange Of Gases>Breathing And Exchange Of Gases	6961	exchange of gases in humans	30238	ICSE>Class 11>Biology>Human Physiology>Breathing and Exchange of Gases	18706	ICSE
CBSE	Exchange Of Gasses	10002	CBSE>Class 11>Biology>17 Breathing And Exchange Of Gases>Breathing And Exchange Of Gases	6961	Gaseous Exchange through Alveoli	36643	ICSE>Class 9>Biology>Human Anatomy and Physiology>Respiratory System	18609	ICSE
CBSE	Exchange Of Gasses	10002	CBSE>Class 11>Biology>17 Breathing And Exchange Of Gases>Breathing And Exchange Of Gases	6961	Percentage Composition of Inhaled and Exhaled air	4432	Cambridge>IGCSE>Biology>11. Gas exchange in humans>11.1 Gas exchange in humans	2811	Cambridge
CBSE	Exchange Of Gasses	10002	CBSE>Class 11>Biology>17 Breathing And Exchange Of Gases>Breathing And Exchange Of Gases	6961	Exchange of gases in plants	14844	English>KS3>Biology>Structure and function of living organisms>Gas Exchange System in Plants	1	English
CBSE	Transport of Oxygen	10101	CBSE>Class 11>Biology>17 Breathing And Exchange Of Gases>Breathing And Exchange Of Gases	6961	transport of oxygen in the blood	30301	ICSE>Class 11>Biology>Human Physiology>Breathing and Exchange of Gases	18706	ICSE
CBSE	Blood Plasma	10109	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Body Fluids And Circulation	6961	Function of blood plasma	4415	Cambridge>IGCSE>Biology>9. Transport in animals>9.4 Blood	2811	Cambridge
CBSE	Blood Plasma	10109	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Body Fluids And Circulation	6961	Functions of plasma	30242	ICSE>Class 11>Biology>Human Physiology>Blood and Its Components	18706	ICSE
CBSE	Blood Plasma	10109	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Body Fluids And Circulation	6961	composition of blood plasma	30306	ICSE>Class 11>Biology>Human Physiology>Blood and Its Components	18706	ICSE
CBSE	ABO grouping	10111	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Body Fluids And Circulation	6961	rhesus factor and pregnancy 	30308	ICSE>Class 11>Biology>Human Physiology>Blood and Its Components	18706	ICSE
CBSE	ABO grouping	10111	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Body Fluids And Circulation	6961	ABO System of Blood Groups	37971	ICSE>Class 10>Biology>Human Anatomy and Physiology>Circulatory System	18705	ICSE
CBSE	Rh grouping	10112	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Body Fluids And Circulation	6961	rhesus factor and pregnancy 	30308	ICSE>Class 11>Biology>Human Physiology>Blood and Its Components	18706	ICSE
CBSE	Lymph (Tissue Fluid)	10113	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Body Fluids And Circulation	6961	composition of lymph and function	30244	ICSE>Class 11>Biology>Human Physiology>Blood and Its Components	18706	ICSE
CBSE	Lymph (Tissue Fluid)	10113	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Body Fluids And Circulation	6961	lymph composition and function	30313	ICSE>Class 11>Biology>Human Physiology>Human Circulatory System	18706	ICSE
CBSE	Electrocardiograph (ECG)	10115	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Human Circulatory System	6961	ECG	30311	ICSE>Class 11>Biology>Human Physiology>Human Circulatory System	18706	ICSE
CBSE	Double circulation	10116	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Human Circulatory System	6961	Double circulation in Humans	4285	Cambridge>IGCSE>Biology>9. Transport in animals>9.1 Transport in animals	2811	Cambridge
CBSE	Double circulation	10116	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Human Circulatory System	6961	Double Circulation in Humans	38054	ICSE>Class 10>Biology>Human Anatomy and Physiology>Circulatory System	18705	ICSE
CBSE	Double circulation	10116	CBSE>Class 11>Biology>18 Body Fluids And Circulation>Human Circulatory System	6961	Advantages of a double circulatory system	4399	Cambridge>IGCSE>Biology>9. Transport in animals>9.1 Transport in animals	2811	Cambridge
